[2018-07-10 10:29:48,331][restartedMain][WARN][org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer:62] Unable to start LiveReload server
[2018-07-10 14:51:29,413][http-nio-127.0.0.1-8081-exec-10][WARN][org.springframework.web.servlet.PageNotFound:215] Request method 'POST' not supported
[2018-07-10 14:51:29,413][http-nio-127.0.0.1-8081-exec-10][WARN][org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver:189] Resolved exception caused by Handler execution: org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported
[2018-07-10 14:51:33,836][http-nio-127.0.0.1-8081-exec-2][WARN][org.springframework.web.servlet.PageNotFound:215] Request method 'POST' not supported
[2018-07-10 14:51:33,837][http-nio-127.0.0.1-8081-exec-2][WARN][org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver:189] Resolved exception caused by Handler execution: org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported
[2018-07-10 15:01:28,886][http-nio-127.0.0.1-8081-exec-3][WARN][org.springframework.web.servlet.PageNotFound:215] Request method 'POST' not supported
[2018-07-10 15:01:28,886][http-nio-127.0.0.1-8081-exec-3][WARN][org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver:189] Resolved exception caused by Handler execution: org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported
[2018-07-10 15:01:33,714][http-nio-127.0.0.1-8081-exec-6][WARN][org.springframework.web.servlet.PageNotFound:215] Request method 'POST' not supported
[2018-07-10 15:01:33,714][http-nio-127.0.0.1-8081-exec-6][WARN][org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver:189] Resolved exception caused by Handler execution: org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported
[2018-07-10 15:02:22,028][http-nio-127.0.0.1-8081-exec-4][WARN][org.springframework.web.servlet.PageNotFound:215] Request method 'POST' not supported
[2018-07-10 15:02:22,028][http-nio-127.0.0.1-8081-exec-4][WARN][org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver:189] Resolved exception caused by Handler execution: org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported
[2018-07-10 15:02:22,095][http-nio-127.0.0.1-8081-exec-5][WARN][org.springframework.web.servlet.PageNotFound:215] Request method 'POST' not supported
[2018-07-10 15:02:22,096][http-nio-127.0.0.1-8081-exec-5][WARN][org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver:189] Resolved exception caused by Handler execution: org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported
